Connected to BF Runtime Server as client 0
The target runs the program  RF
FlowID, PS, IPG, FS, IFG t1, t2, t3, t4, t5, host_ifg
101, 504, 7446212, 13091, 18066069, 2, 2, 2, 2, 2,46849.35504444444
101, 447, 7354740, 13091, 18066069, 2, 2, 2, 3, 2,46849.35504444444
101, 502, 7023555, 12095, 19941143, 2, 3, 2, 2, 2,46849.322044444445
41, 450, 7604504, 10038, 19935284, 2, 3, 2, 2, 2,5669.468833333333
41, 462, 7172257, 9325, 19282265, 2, 2, 2, 3, 2,5669.468833333333
41, 410, 6960632, 9325, 19282265, 2, 2, 2, 3, 2,5669.468833333333
101, 469, 6643168, 9946, 17226893, 2, 2, 2, 3, 2,46849.25504444444
101, 427, 9364287, 9946, 17226893, 2, 2, 2, 2, 2,46849.22204444445
101, 475, 9170749, 9629, 19148505, 2, 2, 2, 3, 2,46849.22204444445
101, 478, 9860931, 12064, 17693762, 2, 2, 2, 3, 2,872.6698
41, 477, 10244474, 11340, 19665443, 2, 2, 2, 3, 2,5669.468833333333
101, 481, 9949936, 10573, 16121377, 2, 2, 2, 3, 2,46849.155044444444
41, 487, 10135504, 11340, 19665443, 2, 2, 2, 3, 2,5669.468833333333
41, 489, 9898653, 9145, 19264708, 2, 2, 2, 3, 2,5669.468833333333
41, 470, 9833313, 9145, 19264708, 2, 2, 2, 3, 2,5669.468833333333
101, 492, 8931483, 9061, 15685897, 2, 2, 2, 3, 2,872.7698
41, 464, 8830695, 8518, 17773917, 2, 2, 2, 3, 2,5669.468833333333
41, 410, 9488731, 8518, 17773917, 2, 2, 2, 2, 2,5669.468833333333
101, 440, 9097619, 9050, 15633180, 2, 2, 2, 3, 2,872.8038
41, 421, 11493069, 7063, 18156879, 2, 2, 2, 3, 2,5669.468833333333
41, 422, 10743769, 7063, 18156879, 2, 2, 2, 3, 2,5669.468833333333
101, 409, 10046512, 7516, 14594091, 2, 2, 2, 3, 2,46848.98804444444
41, 384, 9688947, 6480, 15224533, 2, 2, 2, 3, 2,5669.468833333333
101, 423, 9505553, 7437, 13846961, 2, 2, 2, 2, 2,872.9038
41, 405, 9974481, 6480, 15224533, 2, 2, 2, 3, 2,42052.390011111114
41, 341, 9200923, 5643, 14350726, 2, 2, 2, 3, 2,5669.468833333333
41, 359, 9175479, 5643, 14350726, 2, 2, 2, 3, 2,5669.468833333333
101, 384, 8955829, 9587, 13935852, 2, 2, 2, 3, 2,46848.888044444444
41, 334, 9686178, 9013, 16151155, 2, 2, 2, 3, 2,5669.468833333333
101, 373, 8943000, 8183, 15291052, 2, 2, 2, 3, 2,873.0038
101, 369, 9118352, 8183, 15291052, 2, 2, 2, 3, 2,873.0038
101, 410, 9437781, 7905, 18118603, 1, 1, 1, 1, 1,46848.82104444444
101, 380, 10282789, 7905, 18118603, 2, 2, 2, 3, 2,873.0708
101, 449, 9800655, 8914, 16539934, 2, 2, 2, 3, 2,46848.788044444445
41, 401, 9762922, 8777, 17068814, 2, 2, 2, 3, 2,5669.468833333333
101, 439, 9710832, 8373, 15009912, 2, 2, 2, 3, 2,46848.75504444444
101, 429, 9968442, 8373, 15009912, 2, 2, 2, 3, 2,46848.75504444444
101, 437, 9548294, 8824, 18586078, 2, 2, 2, 2, 2,873.1368
101, 382, 8948506, 7669, 16391003, 2, 2, 2, 3, 2,46848.72204444445
101, 454, 8465474, 8555, 14671099, 2, 2, 2, 2, 2,46848.68804444445
41, 424, 8571335, 7578, 16633674, 2, 2, 2, 2, 2,5669.468833333333
101, 445, 8607948, 8465, 14960670, 2, 2, 2, 3, 2,873.2038
41, 426, 9080025, 7578, 16633674, 2, 2, 2, 3, 2,5669.468833333333
41, 409, 9423315, 6243, 17327165, 2, 2, 2, 3, 2,5669.468833333333
101, 431, 9053281, 7186, 16900707, 2, 2, 2, 3, 2,873.2378
101, 379, 8257391, 7186, 16900707, 2, 2, 2, 3, 2,873.2378
101, 436, 9107924, 7505, 14260139, 2, 2, 2, 3, 2,46848.58804444444
41, 395, 8907693, 6364, 14413275, 2, 2, 2, 3, 2,5669.468833333333
101, 483, 8171544, 7480, 13346244, 2, 2, 2, 3, 2,873.3038
41, 420, 8617794, 6364, 14413275, 2, 2, 2, 2, 2,5669.468833333333
101, 435, 8094627, 7728, 11405075, 2, 2, 2, 3, 2,873.3378
41, 416, 8793172, 7668, 11708258, 2, 2, 2, 3, 2,5669.468833333333
101, 437, 8085945, 7577, 10279567, 2, 2, 2, 3, 2,46848.48804444444
41, 393, 7899849, 6485, 10363253, 2, 2, 2, 3, 2,5669.468833333333
101, 406, 8616565, 6647, 9854207, 2, 2, 2, 3, 2,873.4038
101, 372, 9105298, 5878, 10197904, 2, 2, 2, 3, 2,46848.45504444445
101, 446, 9816807, 6893, 9516815, 2, 2, 2, 3, 2,873.4378
41, 395, 9218635, 6787, 10147617, 2, 2, 2, 2, 2,5669.468833333333
41, 447, 8597563, 6787, 10147617, 2, 2, 2, 3, 2,5669.468833333333
41, 401, 7883123, 6043, 9542950, 2, 2, 2, 3, 2,5669.468833333333
41, 439, 7609532, 6043, 9542950, 2, 2, 2, 3, 2,5669.468833333333
41, 409, 7015618, 6043, 9542950, 2, 2, 2, 3, 2,5669.468833333333
101, 390, 6637712, 5605, 9463201, 2, 2, 2, 3, 2,873.5378
41, 368, 6540544, 5519, 10094562, 2, 2, 2, 3, 2,5669.468833333333
41, 415, 6851246, 5519, 10094562, 2, 2, 2, 3, 2,5669.468833333333
41, 392, 6877324, 5519, 12543715, 2, 2, 2, 3, 2,5669.468833333333
41, 342, 6582416, 6655, 12543715, 2, 2, 2, 3, 2,5669.468833333333
101, 359, 6827326, 9380, 13387483, 2, 2, 2, 3, 2,46848.254044444446
41, 319, 7686263, 6655, 12543715, 2, 2, 2, 3, 2,5669.468833333333
41, 353, 7258934, 8883, 12936020, 2, 2, 2, 3, 2,5669.468833333333
101, 393, 7342913, 11040, 13816389, 2, 2, 2, 2, 2,0.033
101, 369, 7894679, 11040, 13816389, 2, 2, 2, 3, 2,0.033
101, 351, 7344672, 9715, 14086585, 2, 2, 2, 2, 2,873.7048
101, 320, 7778472, 8851, 13677416, 2, 2, 2, 2, 2,46848.15404444445
101, 336, 8341035, 8851, 12151431, 2, 2, 2, 2, 2,873.7378
101, 344, 7970675, 7235, 13272356, 2, 2, 2, 3, 2,46848.121044444444
41, 309, 7574554, 8453, 14454008, 2, 2, 2, 3, 2,5669.468833333333
41, 352, 7916905, 8453, 12915232, 2, 2, 2, 3, 2,5669.468833333333
41, 306, 7693710, 8606, 12915232, 2, 2, 2, 3, 2,5669.468833333333
41, 307, 7522911, 8606, 12915232, 2, 2, 2, 2, 2,5669.468833333333
